,Time,Duration,ClientTimeoutErrors,ResponseTime
1,06/13/11:08:56:06:636395414,239.984,2291,18.6
2,06/13/11:09:00:06:745766247,239.984,806,14.6
3,06/13/11:09:04:06:862395188,239.986,0,4.1
4,06/13/11:09:08:06:977687597,239.986,0,4.3
5,06/13/11:09:12:07:093126523,239.984,0,4.2
6,06/13/11:09:16:07:206841884,239.984,0,4.1
7,06/13/11:09:20:08:316529410,240.981,1476,5.7
8,06/13/11:09:24:09:425994553,240.98,11855,178.7
9,06/13/11:09:28:09:539746099,239.984,3044,5.5
10,06/13/11:09:32:09:653975283,239.984,0,4.3
11,06/13/11:09:36:09:770989166,239.986,0,4.3
12,06/13/11:09:40:09:884108600,239.984,0,4.3
13,06/13/11:09:44:09:998975655,239.984,0,4.3
14,06/13/11:09:48:10:113154387,239.984,0,4.4
15,06/13/11:09:52:10:226714301,239.984,0,4.3
16,06/13/11:09:56:10:340792280,239.984,0,4.3
17,06/13/11:10:00:10:456764132,239.987,0,4.3
18,06/13/11:10:04:10:572673437,239.986,0,4.3
19,06/13/11:10:08:10:685786450,239.984,0,4.3
20,06/13/11:10:12:10:801810677,239.987,0,4.4
21,06/13/11:10:16:10:918110968,239.987,0,4.3
22,06/13/11:10:20:11:031892611,239.984,0,4.3
23,06/13/11:10:24:11:148607625,239.987,0,4.3
24,06/13/11:10:28:11:261337653,239.984,0,4.3
25,06/13/11:10:32:11:375168369,239.984,0,4.3
26,06/13/11:10:36:11:490180578,239.987,0,4.3
27,06/13/11:10:40:11:603145082,239.984,0,4.3
28,06/13/11:10:44:11:715373407,239.984,0,4.3
29,06/13/11:10:48:11:828960894,239.984,0,4.3
30,06/13/11:10:52:12:937500173,240.981,5914,11.1
31,06/13/11:10:56:13:055223589,239.984,5550,13.3
32,06/13/11:11:00:13:167590731,239.984,0,4.2
33,06/13/11:11:04:13:280824248,239.984,0,4.2
34,06/13/11:11:08:13:390801463,239.984,0,4.2
35,06/13/11:11:12:13:506870093,239.987,0,4.3
36,06/13/11:11:16:13:622092593,239.987,0,4.3
37,06/13/11:11:20:13:734933633,239.984,0,4.3
38,06/13/11:11:24:13:847976312,239.984,0,4.2
39,06/13/11:11:28:13:960703867,239.984,0,4.3
